ID,BLOQUE,MODULO,CASO DE TEST,PASOS (BREADCRUMB),RESULTADO ESPERADO,RIESGO,PRIORIDAD,TICKET ORIGEN,ASSIGNED,RESOLUTION,COMMENTS
SM-001,1 - Login/Auth,Auth SSO,"Login SSO — Company User","Navigate: app.ionflow.io > Click Login with SSO > Keycloak: Fill #username > Fill #password > Click #kc-login > Verify: Dashboard visible","Dashboard carga. Menú lateral visible. Nombre de la company en header. Sin errores 401/403.",🔴 Alto,🔴 Crítico,"IONF-362, IONF-1074, IONF-543",,,
SM-002,1 - Login/Auth,Auth SSO,"Login SSO — Admin Ionflow","Navigate: app.ionflow.io > Login como Admin > Verify: Admin sidebar visible (Companies, Templates, Connectors, Boards, Apps, Developers, Settings)","Panel de Admin carga. Todas las secciones del sidebar visibles.",🔴 Alto,🔴 Crítico,"IONF-362, IONF-1074",,,
SM-003,1 - Login/Auth,Auth SSO,"Acceso sin sesión — Redirección a Login","Navigate: app.ionflow.io/boards (sin sesión activa) > Verify: Redirige a pantalla de login / Keycloak","No se accede directamente a /boards. Redirige a login.",🔴 Alto,🔴 Crítico,"IONF-362, IONF-1074",,,
SM-004,2 - Crear Board,Boards,"Crear Board nuevo","Company Login > Sidebar: Boards > Button: + New Board > Fill nombre: Smoke Test Board > Click Crear > Verify: Board en lista y URL actualizada","Board creado. URL cambia al board. Board en listado.",🔴 Alto,🔴 Crítico,"IONF-899, IONF-1144",,,
SM-005,2 - Crear Board,Boards,"Abrir Board y verificar canvas","Company Login > Sidebar: Boards > Click en Board existente > Verify: Canvas carga sin errores","Canvas del board carga. Panel de nodos visible. Sin errores 500/502.",🔴 Alto,🔴 Crítico,"IONF-899",,,
SM-006,2 - Crear Board,Boards,"Eliminar Board","Company Login > Sidebar: Boards > Board: Click Delete > Confirm modal > Verify: Board eliminado","Modal de confirmación aparece. Board eliminado del listado.",🟢 Baseline,🟠 Alto,"IONF-281",,,
SM-007,3 - Canvas/Nodos,Boards > Canvas,"Agregar nodo Scheduler","Board abierto > Panel de nodos: Drag/Click Scheduler > Nodo en canvas > Click nodo: Configurar frecuencia > Click Save","Nodo Scheduler agregado y configurado. Sin errores al guardar.",🔴 Alto,🔴 Crítico,"IONF-379, IONF-680",,,
SM-008,3 - Canvas/Nodos,Boards > Canvas,"Agregar nodo HTTP Request y conectar","Board abierto > Agregar nodo HTTP Request > Conectar salida Scheduler con HTTP Request > Configurar URL > Save","Conexión entre nodos visible. Configuración guardada. Sin errores.",🔴 Alto,🔴 Crítico,"IONF-379",,,
SM-009,3 - Canvas/Nodos,Boards > Canvas,"Agregar nodo Mapper y mapear campo","Board abierto > Agregar nodo Mapper > Conectar con nodo anterior > Mapear al menos 1 campo","Mapper carga schema del nodo anterior. Campo mapeado sin errores.",🔴 Alto,🔴 Crítico,"IONF-320, IONF-901",,,
SM-010,3 - Canvas/Nodos,Boards > Canvas,"Agregar nodo Multiple Decision (Switch)","Board abierto > Panel de nodos: Click Multiple Decision > Nodo en canvas > Configurar 2 salidas","Nodo Switch visible con múltiples salidas configurables. Sin errores.",🔴 Alto,🔴 Crítico,"IONF-227",,,
SM-011,3 - Canvas/Nodos,Boards > Canvas,"Menú contextual de doble clic para agregar nodo","Board abierto > Double click en área vacía del canvas > Verify: Menú contextual de nodos aparece","Menú contextual visible con categorías de nodos.",🔴 Alto,🟠 Alto,"IONF-848",,,
SM-012,4 - Ejecutar Flow,Boards > Execution,"Ejecutar flow modo Development","Board con al menos 1 nodo > Button: Run > Verify: Ejecución inicia, nodo cambia estado, resultado visible","Ejecución completa. Estado del nodo ✅. Output del nodo visible. Sin errores críticos.",🔴 Alto,🔴 Crítico,"IONF-379",,,
SM-013,4 - Ejecutar Flow,Boards > Production,"Activar flow a modo Production","Board abierto > Toggle: Development → Production > Verify: Flow pasa a Active > Verificar en Telescope que job aparece","Flow activado. Estado Active en listado. Sin errores en Telescope.",🔴 Alto,🔴 Crítico,"IONF-680",,,
SM-014,4 - Ejecutar Flow,Boards > Transformer,"Ejecutar flow con Transformer — verificar output","Board con nodo Transformer configurado > Run Development > Verify: Output no es null ni vacío","Transformer emite output válido. No muestra datos de ejecución anterior.",🔴 Alto,🔴 Crítico,"IONF-379, IONF-516, IONF-511",,,
SM-015,5 - Historial,Execution History,"Ver historial de ejecuciones","Company Login > Sidebar: Execution History > Verify: Lista visible > Click en ejecución > Verify: Logs por nodo","Historial carga. Ejecución listada. Logs de cada nodo visibles. Sin errores 500.",🔴 Alto,🔴 Crítico,"IONF-798",,,
SM-016,5 - Historial,Execution History,"Verificar resultado por nodo en ejecución","Execution History > Click en ejecución reciente > Verify: cada nodo muestra status y output","Cada nodo tiene status (✅/❌) y output. Sin metadata waiting_for_input expuesta.",🔴 Alto,🟠 Alto,"IONF-518, IONF-798",,,
SM-017,6 - Connections,Connections,"Crear conexión nueva","Company Login > Sidebar: Connections > Click + Add Connection > Seleccionar app connector > Fill credenciales > Save > Verify: Conexión en lista","Conexión creada y listada. Sin errores de autenticación.",🔴 Alto,🔴 Crítico,"IONF-141, IONF-142",,,
SM-018,6 - Connections,Connections,"Verificar estado de conexión","Company Login > Sidebar: Connections > Click en conexión > Button: Check Connection > Verify: Estado Connected","Conexión verificada. Sin errores de Basic Auth ni Refresh Token.",🔴 Alto,🔴 Crítico,"IONF-141, IONF-554",,,
SM-019,6 - Connections,Connections,"Re-autorizar conexión existente","Company Login > Sidebar: Connections > Click en conexión > Button: Reauthorize > Verify: Flujo re-auth completa","Flujo de re-auth completa. Conexión activa.",🔴 Alto,🟠 Alto,"IONF-554, IONF-165",,,
SM-020,7 - Conector,Connections > Create,"Crear conector manual","Company Login > Sidebar: Connections > Click Create > Seleccionar Manual Connector > Fill nombre y tipo > Save > Verify: Conector en lista","Conector creado exitosamente. Visible en Connections.",🔴 Alto,🔴 Crítico,"IONF-116",,,
SM-021,7 - Conector,Connections > Edit,"Editar nombre de conector","Company Login > Sidebar: Connections > Click en conector > Edit nombre > Save > Verify: nombre actualizado","Nombre del conector actualizado. Sin errores al guardar.",🟢 Baseline,🟠 Alto,"IONF-146",,,
SM-022,7 - Conector,Connections > Nodes,"Agregar endpoint al conector","Company Login > Sidebar: Connections > Click conector > Tab: Nodes > Button: Add Node > Fill datos básicos > Save","Nodo/endpoint agregado al conector. Visible en lista de nodos del conector.",🔴 Alto,🔴 Crítico,"IONF-327",,,
SM-023,8 - Service/GRAPP,Marketplace,"Acceder al Marketplace de GRAPPs","Company Login (Tenant) > Sidebar: Available Market Place > Verify: Lista de GRAPPs carga","Marketplace visible. Al menos un GRAPP listado. Sin errores 500.",🔴 Alto,🔴 Crítico,"IONF-997",,,
SM-024,8 - Service/GRAPP,Marketplace > Install,"Instalar GRAPP desde Marketplace","Customer Login > Sidebar: Available Market Place > Click en GRAPP > Click Install > Verify: GRAPP en Configured Channels","GRAPP instalado. Visible en Configured Channels. Sin errores en instalación.",🔴 Alto,🔴 Crítico,"IONF-997, IONF-103",,,
SM-025,8 - Service/GRAPP,Admin > Apps,"Crear GRAPP desde Admin","Admin Login > Sidebar: Apps > Grapps > Click + Create > Fill nombre y config básica > Save > Verify: GRAPP en lista","GRAPP creado. Visible en Apps > Grapps.",🔴 Alto,🟠 Alto,"IONF-103, IONF-917",,,
SM-026,8 - Service/GRAPP,Catalog,"Agregar item al Catalog","Company Login > Sidebar: Catalog > Click + Add Catalog Item > Seleccionar tipo GRAPP > Fill datos > Save > Verify: Item en Catalog","Item de catálogo creado. Visible en Catalog.",🟢 Baseline,🟡 Medio,"IONF-103",,,
SM-027,9 - PDF Templates,PDF Templates,"Crear template PDF nuevo","Company Login > Sidebar: PDF Templates > Click + New Template > Fill nombre > Agregar campo de texto > Save","Template PDF creado. Visible en lista de PDF Templates. Sin errores al guardar.",🔴 Alto,🔴 Crítico,"IONF-820",,,
SM-028,9 - PDF Templates,Boards > ION PDF,"Agregar nodo ION PDF al canvas y mapear","Board abierto > Panel de nodos: Click ION PDF > Nodo en canvas > Click nodo: Abrir modal > Seleccionar template > Mapear 1 campo > Save","Nodo ION PDF configurado. Mapeo habilitado al primer abrir del modal.",🔴 Alto,🔴 Crítico,"IONF-820, IONF-1123",,,
SM-029,9 - PDF Templates,Boards > ION PDF,"Generar PDF ejecutando flow","Board con nodo ION PDF configurado > Run Development > Verify: Output contiene referencia al PDF > Verify: PDF descargable","PDF generado. Link/referencia de descarga disponible. Sin errores de generación.",🔴 Alto,🔴 Crítico,"IONF-820, IONF-937",,,
SM-R-001,Bugs Críticos,Accounts,"Crear Board después de cuenta nueva","Crear cuenta nueva (SSO) > Login con cuenta nueva > Sidebar: Boards > Click + New Board > Fill nombre > Crear > Verify: Board creado sin errores","Board creado exitosamente. Sin error failed to create.",🔴 Alto,🔴 Crítico,IONF-1144,,,VERIFICAR ANTES DEL GO-LIVE
SM-R-002,Bugs Críticos,Webhooks,"Desactivar webhook custom","Company Login > Sidebar: Webhooks > Click en webhook custom activo > Toggle: Desactivar > Verify: Estado Inactivo","Webhook desactivado. Estado Inactive en lista. Sin errores.",🔴 Alto,🔴 Crítico,IONF-1145,,,VERIFICAR ANTES DEL GO-LIVE
SM-R-003,Bugs Críticos,Accounts,"Cambio de email — integridad de cuenta","Company Login > Sidebar: Account > Button: Change Email > Fill nuevo email > Confirm > Verify: Sesión activa y cuenta accesible","Email actualizado. Cuenta accesible. Sin errores que rompan el acceso.",🔴 Alto,🔴 Crítico,IONF-1147,,,VERIFICAR ANTES DEL GO-LIVE
SM-R-004,Bugs Críticos,Admin > Boards,"Migración de flow a global","Admin Login > Companies > Seleccionar company > Flows: Click Migrate en un flow > Verify: Flow migrado sin error 500","Flow migrado exitosamente. Sin error 500 failed to create global flow.",🔴 Alto,🔴 Crítico,IONF-1108,,,VERIFICAR ANTES DEL GO-LIVE
SM-R-005,Bugs Críticos,Boards > ION PDF,"Mapeo PDF sin doble apertura de modal","Board con nodo ION PDF > Click nodo > Modal se abre > Verify: campos de mapeo editables SIN necesidad de guardar y reabrir","Mapeo habilitado al primer abrir del modal. Sin ciclo extra de abrir/guardar.",🔴 Alto,🔴 Crítico,IONF-1123,,,VERIFICAR ANTES DEL GO-LIVE
SM-R-006,Bugs Críticos,Boards > FlowPilot,"FlowPilot reconoce nodo PDF Template","Board con nodo ION PDF configurado > Abrir FlowPilot > Pedir al agente que modifique el nodo PDF Template > Verify: Agente reconoce el nodo sin errores","FlowPilot reconoce ION PDF. Sin errores al interactuar con el nodo.",🔴 Alto,🔴 Crítico,IONF-1143,,,VERIFICAR ANTES DEL GO-LIVE
