ID,Módulo,AC,Tipo,Caso de Test,Precondición,Pasos,Resultado Esperado,Prioridad,Automatizable,Estado
TC-001,Connections,AC-1,Happy Path,Listar connections de un account,"Account existente con ≥1 connection, token M2M con scope app:connection-read",1. Obtener token M2M con scope app:connection-read | 2. GET /api/2.0/app/accounts/{remote_id}/connections | 3. Verificar response,200 OK — Lista paginada de connections. Cada connection NO contiene campo connection (secreto),Crítico,Sí,Success
TC-002,Connections,AC-1,Happy Path,Ver detalle de una connection,"Connection existente, token con scope app:connection-read",1. Obtener token M2M | 2. GET /api/2.0/app/accounts/{remote_id}/connections/{connectionId} | 3. Verificar campos del response,"200 OK — Detalle con name, service_id, data, metadata. Campo connection (secreto) NO presente",Crítico,Sí,Success
TC-003,Connections,"AC-1, AC-5",Happy Path,Crear connection con todos los campos,"Account existente, token con scope app:connection-create, service_id válido","1. Obtener token M2M | 2. POST /api/2.0/app/accounts/{remote_id}/connections con body: {name, service_id, data, connection, metadata} | 3. Verificar response | 4. Verificar en BD que connection está encriptado y data espeja","201 Created — Connection creada. En BD: columna connection encriptada, columna data con espejo. Response NO expone connection",Crítico,Sí,Success
TC-004,Connections,"AC-1, AC-5",Happy Path,Actualizar connection CON campo connection,"Connection existente, token con scope app:connection-update","1. Obtener token M2M | 2. PUT /api/2.0/app/accounts/{remote_id}/connections/{id} con body: {name: nuevo, connection: {new_secret}} | 3. Verificar response | 4. Verificar en BD","200 OK — Name actualizado, connection re-encriptado con nuevo valor, data espeja el nuevo valor",Crítico,Sí,Success
TC-005,Connections,"AC-1, AC-5",Happy Path,Actualizar connection SIN campo connection,"Connection existente con secreto, token con scope app:connection-update",1. Obtener token M2M | 2. PUT /api/2.0/app/accounts/{remote_id}/connections/{id} con body: {name: solo nombre} (sin campo connection) | 3. Verificar en BD,200 OK — Name actualizado. Secreto original PRESERVADO (no se borró ni se puso null),Crítico,Sí,Success
TC-006,Connections,AC-1,Happy Path,Eliminar connection,"Connection existente, token con scope app:connection-delete",1. Obtener token M2M | 2. DELETE /api/2.0/app/accounts/{remote_id}/connections/{id} | 3. Verificar response | 4. Verificar que GET retorna 404,200/204 — Connection eliminada. GET subsecuente retorna 404,Crítico,Sí,Success
TC-007,Integrations,"AC-2, AC-6",Happy Path,Instalar integración (grapp) para un account,"Account existente, service válido, token con scope app:integration-create","1. Obtener token M2M | 2. POST /api/2.0/app/accounts/{remote_id}/integrations con body: {service_id, name} | 3. Verificar response contiene integration_id y gateway_key | 4. Verificar en BD","201 Created — Integración creada con integration_id y gateway_key. Config vacía {}. Account del binding, app del token",Crítico,Sí,Success
TC-008,Connections,AC-1,Happy Path,Listar connections con parámetros de paginación,Account con ≥3 connections,1. GET /connections?per_page=2&order_by=name&order_direction=asc | 2. Verificar paginación | 3. Verificar ordenamiento,"200 OK — Máx 2 resultados por página, ordenados por name ASC. Metadata de paginación presente",Alto,Sí,Success
TC-009,Connections,AC-1,Edge Case,Crear connection sin campo data (opcional),"Token válido, account existente","1. POST /connections con body: {name, service_id, connection: {...}} (sin data) | 2. Verificar creación",201 Created — Connection creada con data null o vacío. Sin error,Alto,Sí,Success
TC-010,Connections,AC-1,Edge Case,Crear connection sin campo metadata (opcional),"Token válido, account existente","1. POST /connections con body: {name, service_id, connection: {...}} (sin metadata) | 2. Verificar",201 Created — Connection creada con metadata null. Sin error,Alto,Sí,Success
