ID,SIDE,MODULE,TYPE,TEST_CASE,PRECONDITION,STEPS,EXPECTED_RESULT,PRIORITY,RISK,TICKET,STATUS,ASSIGNED,COMMENTS,OBSERVATION
SM-001,KC → TENANT,Login / Auth,BASE,Login Company con Keycloak,Usuario registrado,"Navigate: dev-app.ionflow.io > Keycloak login > Fill #username: skuanquis@gmail.com > Fill #password: [.env] > Click #kc-login > Select company > Verify: Dashboard visible","Dashboard carga correctamente. Se muestra el nombre de la company y el sidebar de navegación",🔴 Crítico,🔴 Impactado,,⬜ Pendiente,,,
SM-002,KC → ADMIN,Login / Auth,BASE,Login Admin con Keycloak,Usuario admin registrado,"Navigate: dev-app.ionflow.io > Keycloak login > Fill #username: admin@shipedge.com > Fill #password: [.env] > Click #kc-login > Verify: Admin Dashboard visible","Panel de administración carga correctamente. Se muestran las opciones de admin",🔴 Crítico,🔴 Impactado,,⬜ Pendiente,,,
SM-003,TENANT,Boards,BASE,Crear un flow nuevo y guardarlo,Usuario autenticado como Tenant,"[Tenant] Login > Sidebar: Boards > Click Create Board > Ingresar nombre: Smoke Test v0.1.1 > Guardar > Verificar board en la lista","El flow se crea exitosamente y aparece en la lista de boards con el nombre asignado",🔴 Crítico,🔴 Impactado,,⬜ Pendiente,,,
SM-004,TENANT,Boards > Canvas,BASE,Agregar nodos y conectar en canvas,Board existente,"[Tenant] Login > Sidebar: Boards > Abrir board existente > Canvas > Agregar nodo (HTTP Request) > Agregar nodo (Mapper) > Conectar ambos nodos con edge","Los nodos se agregan al canvas. La conexión (edge) se establece visualmente entre ambos nodos",🔴 Crítico,🔴 Impactado,,⬜ Pendiente,,,
SM-005,TENANT,Boards > Execution,BASE,Ejecutar flow en modo Test,Board con nodos configurados,"[Tenant] Login > Sidebar: Boards > Abrir board con nodos configurados > Click Test > Ejecutar desde nodo inicial > Esperar resultado","La ejecución recorre todos los nodos y termina con status completed. Se muestra el resultado de cada nodo",🔴 Crítico,🔴 Impactado,,⬜ Pendiente,,,
SM-006,TENANT,Boards > Scheduler,BASE,Ejecutar flow en modo Production (Scheduler),Board con Scheduler activo,"[Tenant] Login > Sidebar: Boards > Board con Scheduler activo > Verificar que Scheduler está en Production > Verificar última ejecución en Execution History","El Scheduler está activo y la última ejecución muestra status completed (no error)",🔴 Crítico,🔴 Impactado,,⬜ Pendiente,,,
SM-007,TENANT,Execution History,BASE,Ver historial de ejecuciones,Al menos una ejecución completada,"[Tenant] Login > Sidebar: Execution History > Verificar que la lista carga > Abrir detalle de la ejecución más reciente > Verificar logs","El historial muestra las ejecuciones. Los logs del detalle muestran nodos ejecutados resultados y timestamps",🟠 Alto,🔴 Impactado,,⬜ Pendiente,,,
SM-008,TENANT,Connections (Integrations),BASE,Crear conexión nueva (Check Connection),Connector disponible,"[Tenant] Login > Sidebar: Connections (Integrations) > Check Connection > Seleccionar connector disponible > Completar credenciales > Guardar","La conexión se crea exitosamente y aparece en la lista de conexiones activas",🟠 Alto,🔴 Impactado,,⬜ Pendiente,,,
SM-009,TENANT,Connections (App Connectors),BASE,Crear conector manual,Usuario con permiso CREATE_APP,"[Tenant] Login > Sidebar: Connections > Create > Manual Connector > Completar datos (nombre y base URL) > Guardar > Verificar en lista","El connector se crea y aparece en la lista. Se puede abrir para editar",🟠 Alto,🟢 Baseline,,⬜ Pendiente,,,
SM-010,TENANT,Catalog (Services),BASE,Crear service/grapp,Usuario con acceso a Catalog,"[Tenant] Login > Sidebar: Catalog > Add Catalog Item > Crear Grapp > Completar datos > Guardar > Verificar en lista","El service se crea exitosamente y aparece en el catálogo. Se puede abrir para editar",🟠 Alto,🟢 Baseline,,⬜ Pendiente,,,
