ID,Side,Módulo,Tipo Regresión,Caso de Test,Precondición,Pasos,Resultado Esperado,Prioridad,Estado
REG-001,TENANT,core-engine / Nodes,[DIRECTA],Nodo Transformer ejecuta sub-flow y retorna resultado,Flow con nodo Transformer (Mapper UI) configurado,Login > Sidebar: Boards > Abrir flow > Canvas: agregar nodo Transformer > Configurar sub-flow > Ejecutar,Nodo Transformer emite output correctamente sin errores de acumulador ni salidas vacías (IONF-404 IONF-516),🔴 Crítico,⬜ Pendiente
REG-002,TENANT,core-engine / Nodes,[DIRECTA],Nodo Transformer castea tipos con Expression Language,Flow con nodo Transformer y casteo de string a number,Login > Boards > Flow > Canvas: Transformer con expresión de casteo > Ejecutar > Verificar resultado,Valor casteado correctamente al tipo esperado (IONF-320 IONF-376),🔴 Crítico,⬜ Pendiente
REG-003,TENANT,core-engine / Nodes,[DIRECTA],Nodo Transformer: default para boolean funciona,Flow con Transformer y campo boolean sin valor,Login > Boards > Flow > Canvas: Transformer con campo boolean sin valor > Ejecutar > Verificar output,Nodo emite el valor default configurado (true/false) en vez de null o error (IONF-416),🔴 Crítico,⬜ Pendiente
REG-004,TENANT,core-engine / Nodes,[DIRECTA],Nodo Transformer itera enteros correctamente,Flow con Transformer iterando lista de números enteros,Login > Boards > Flow > Canvas: Transformer con lista [1 2 3] > Ejecutar > Verificar iteración,Cada entero procesado individualmente sin errores de tipo (IONF-463),🔴 Crítico,⬜ Pendiente
REG-005,TENANT,core-engine / Nodes,[DIRECTA],Nodo Switch dinámico rutea correctamente en modo rules,Flow con nodo Switch configurado con 3 reglas,Login > Boards > Flow > Canvas: nodo Switch mode=rules > Ejecutar con distintos inputs > Verificar ruteo,El flow se dirige al output correcto según la regla que aplica (IONF-227),🔴 Crítico,⬜ Pendiente
REG-006,TENANT,core-engine / Nodes,[DIRECTA],Nodo Timer pausa el flow el tiempo configurado,Flow con nodo Timer configurado en 10 segundos,Login > Boards > Flow > Canvas: nodo Timer 10s > Ejecutar > Verificar pausa,Flow espera el tiempo configurado antes de continuar. Output incluye duration y completed_at (IONF-266),🔴 Crítico,⬜ Pendiente
REG-007,TENANT,core-engine / Nodes,[DIRECTA],Nodo Call Component-Flow invoca sub-flow y retorna resultado,Flow principal con nodo Call Component-Flow apuntando a Component-Flow existente,Login > Boards > Flow principal > Canvas: nodo Call Component-Flow > Seleccionar CF > Ejecutar,Component-Flow se ejecuta y retorna resultado al flow principal (IONF-328),🔴 Crítico,⬜ Pendiente
REG-008,TENANT,core-engine / Nodes,[DIRECTA],Nodo Aggregate agrupa N items y emite array,Flow con nodo Aggregate configurado con length=3,Login > Boards > Flow > Canvas: nodo Aggregate length=3 > Enviar 3 items > Verificar output,Aggregate emite array de 3 items al recibir el tercero sin emitir antes (IONF-935),🔴 Crítico,⬜ Pendiente
REG-009,TENANT,core-engine / Nodes,[DIRECTA],Nodo Code ejecuta Python correctamente,Flow con nodo Code en Python,Login > Boards > Flow > Canvas: nodo Code > Python > `result = 2 + 2` > Ejecutar > Verificar,Nodo Code retorna 4. Timeout 30s respetado (IONF-939),🔴 Crítico,⬜ Pendiente
REG-010,TENANT,core-engine / Nodes,[DIRECTA],Nodo Form (Mapper) extrae params correctamente,Flow con nodo Form configurado con params,Login > Boards > Flow > Canvas: nodo Form > Configurar params > Ejecutar > Verificar output,Nodo emite valor del campo params correctamente sin error Mapper not configured (IONF-901),🔴 Crítico,⬜ Pendiente
